rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,year
99,2008-07-11,The Dark Knight,185000000,533720947,998615789,158411483,PG-13,Action,4366,2008
100,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,100137835,PG-13,Adventure,4264,2008
101,2012-06-21,Brave,185000000,237282182,554606532,66323594,PG,Adventure,4164,2012
102,2017-02-23,Kong: Skull Island,185000000,168052812,561072059,61025472,PG-13,Adventure,3846,2017
103,2016-07-21,Star Trek Beyond,185000000,158848340,335673708,59253211,PG-13,Adventure,3928,2016
104,2019-10-17,Maleficent: Mistress of Evil,185000000,113929605,489346495,36948713,PG,Adventure,3820,2019
105,2017-09-29,Blade Runner 2049,185000000,92054159,258829058,32753122,R,Thriller/Suspense,4058,2017
106,2019-10-25,Terminator: Dark Fate,185000000,62253077,250372367,29033832,R,Action,4086,2019
107,2021-07-28,The Suicide Squad,185000000,55817425,167120232,26205415,R,Action,4019,2021
108,2019-05-22,Aladdin,182000000,355559216,1046649706,91500929,PG,Adventure,4476,2019
109,2017-10-25,Thor: Ragnarok,180000000,315058289,850482778,122744989,PG-13,Action,4080,2017
111,2014-05-28,Maleficent,180000000,241407328,758536735,69431298,PG,Adventure,3948,2014
112,2016-11-14,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,74403387,PG-13,Adventure,4144,2016
113,2008-06-27,WALL-E,180000000,223808164,532508025,63087526,G,Adventure,3992,2008
114,2007-08-10,Rush Hour 3,180000000,140125968,256585882,49100158,PG-13,Action,3778,2007
115,2016-06-27,The Legend of Tarzan,180000000,126643061,348902025,38527856,PG-13,Adventure,3591,2016
116,2011-11-23,Hugo,180000000,73864507,180047784,11364505,PG,Adventure,2608,2011
117,2017-07-20,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,17007624,PG-13,Adventure,3553,2017
118,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,18372372,PG-13,Action,3885,2015
119,2018-07-16,Mission: Impossible—Fallout,178000000,220159104,787176729,61236534,PG-13,Action,4395,2018
120,2016-05-18,X-Men: Apocalypse,178000000,155442489,542537546,65769562,PG-13,Action,4153,2016
121,2018-08-09,The Meg,178000000,145443742,527370715,45402195,PG-13,Action,4118,2018
122,2014-05-28,Edge of Tomorrow,178000000,100206256,367028980,28760246,PG-13,Action,3505,2014
123,2019-03-06,Captain Marvel,175000000,426829839,1129727388,153433423,PG-13,Action,4310,2019
124,2016-04-07,The Jungle Book,175000000,364001123,953554418,103261464,PG,Adventure,4144,2016
125,2015-06-12,Inside Out,175000000,356461711,853003563,90440272,PG,Adventure,4158,2015
126,2017-07-05,Spider-Man: Homecoming,175000000,334201140,878346440,117027503,PG-13,Action,4348,2017
127,2016-08-02,Suicide Squad,175000000,325100054,745744980,133682248,PG-13,Action,4255,2016
128,2009-05-28,Up,175000000,293004164,731463377,68108790,PG,Adventure,3886,2009
129,2017-10-27,Coco,175000000,210460015,797666425,50802605,PG,Musical,3987,2017
130,2018-11-21,Ralph Breaks The Internet,175000000,201091711,529290830,56237634,PG,Adventure,4017,2018
131,2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380,59321095,PG,Adventure,4136,2009
132,2017-06-16,Cars 3,175000000,152901115,383541369,53688680,G,Adventure,4256,2017
133,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,54713046,PG-13,Action,4007,2009
134,1999-06-30,Wild Wild West,175000000,113805681,221229335,27687484,PG-13,Adventure,3342,1999
135,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,40457770,PG-13,Adventure,3778,2008
136,2007-06-22,Evan Almighty,175000000,100289690,174131329,31192615,PG,Comedy,3636,2007
137,1995-07-28,Waterworld,175000000,88246220,264246220,21171780,PG-13,Action,2420,1995
138,2020-01-08,Dolittle,175000000,77047065,251410631,21844045,PG,Adventure,4155,2020
139,2017-05-11,King Arthur: Legend of the Sword,175000000,39175066,139630336,15371270,PG-13,Adventure,3702,2017
140,2013-12-06,47 Ronin,175000000,38362475,151716815,9910310,PG-13,Action,2690,2013
142,2022-05-20,Top Gun: Maverick,170000000,715270567,1478823595,126707459,PG-13,Action,4751,2022
143,2018-06-06,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,148024610,PG-13,Action,4485,2018
144,2014-07-31,Guardians of the Galaxy,170000000,333714112,770882395,94320883,PG-13,Action,4088,2014
145,2010-05-07,Iron Man 2,170000000,312433331,621156389,128122480,PG-13,Action,4390,2010
146,2014-03-28,Captain America: The Winter Soldier,170000000,259746958,714401889,95023721,PG-13,Action,3938,2014
147,2014-07-09,Dawn of the Planet of the Apes,170000000,208545589,710644566,72611427,PG-13,Adventure,3969,2014
148,2004-11-10,The Polar Express,170000000,188578855,312719437,23325035,G,Adventure,3650,2004
149,2012-05-30,Snow White and the Huntsman,170000000,155136755,401021746,56217700,PG-13,Adventure,3777,2012
150,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,433058296,44041440,R,Action,3504,2003
151,2004-05-05,Van Helsing,170000000,120150546,300150546,51748040,PG-13,Action,3580,2004
152,2019-03-27,Dumbo,170000000,114766307,353166307,45990748,PG,Adventure,4259,2019
153,2019-05-29,Godzilla: King of the Monsters,170000000,110500138,383299915,47776293,PG-13,Action,4108,2019
154,2015-05-20,Tomorrowland,170000000,93436322,206627518,33028165,PG,Adventure,3972,2015
155,2019-02-01,Alita: Battle Angel,170000000,85838210,401900040,28525613,PG-13,Action,3802,2019
156,2016-05-20,Alice Through the Looking Glass,170000000,77042381,276928112,26858726,PG,Adventure,3763,2016
157,2022-06-01,Jurassic World: Dominion,165000000,376009080,1001188755,145075625,PG-13,Action,4697,2022
158,2010-05-21,Shrek Forever After,165000000,238736787,756244673,70838207,PG,Adventure,4386,2010
159,2016-10-24,Doctor Strange,165000000,232641920,676354481,85058311,PG-13,Action,3882,2016
160,2014-10-25,Big Hero 6,165000000,222527828,648415024,56215889,PG,Adventure,3773,2014
161,2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,43732319,PG,Adventure,4060,2010
162,2012-11-01,Wreck-It Ralph,165000000,189412677,496511521,49038712,PG,Adventure,3752,2012
163,2014-11-05,Interstellar,165000000,188017894,649133873,47510360,PG-13,Adventure,3561,2014
164,2021-09-15,Dune,165000000,108327830,397720527,41011174,PG-13,Action,4125,2021
165,2016-06-22,Independence Day: Resurgence,165000000,103144286,384169424,41039944,PG-13,Action,4091,2016
166,2011-07-29,Cowboys and Aliens,163000000,100368560,176038324,36431290,PG-13,Action,3754,2011
167,2017-03-16,Beauty and the Beast,160000000,504014165,1270042058,174750616,PG,Musical,4210,2017
168,2019-06-27,Spider-Man: Far From Home,160000000,390532085,1132532832,92579212,PG-13,Action,4634,2019
169,2018-12-06,Aquaman,160000000,335061807,1143758700,67873522,PG-13,Action,4184,2018
170,2007-05-17,Shrek the Third,160000000,322719944,807330936,121629270,PG,Adventure,4172,2007
171,2010-07-16,Inception,160000000,292576195,728582465,62785337,PG-13,Thriller/Suspense,3792,2010
172,2015-11-18,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,102665981,PG-13,Thriller/Suspense,4175,2015
173,2013-05-17,Fast and Furious 6,160000000,238679850,789300444,97375245,PG-13,Action,3771,2013
174,2014-05-14,Godzilla,160000000,200676069,529076069,93188384,PG-13,Action,3952,2014
175,2011-06-03,X-Men: First Class,160000000,146408305,355408305,55101604,PG-13,Action,3692,2011
176,2008-12-25,The Curious Case of Benjamin Button,160000000,127509326,329631958,26853816,PG-13,Drama,2988,2008
177,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320,17619622,PG,Adventure,3504,2010
178,2006-05-12,Poseidon,160000000,60674817,181674817,22155410,PG-13,Adventure,3555,2006
179,2016-05-25,Warcraft,160000000,47365290,438899824,24166110,PG-13,Action,3406,2016
181,2016-09-29,Deepwater Horizon,156000000,61433527,122359309,20223544,PG-13,Thriller/Suspense,3403,2016
183,2021-03-25,Godzilla vs. Kong,155000000,100916094,468064628,32200000,PG-13,Action,3084,2021
184,2015-06-24,Terminator: Genisys,155000000,89760956,432150894,27018486,PG-13,Action,3783,2015
185,2018-03-16,Pacific Rim: Uprising,155000000,59874525,290930148,28116535,PG-13,Action,3708,2018
186,2004-11-24,Alexander,155000000,34297191,167297191,13687087,R,Action,2445,2004
187,2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,56262929,PG-13,Action,4100,2017
188,2001-05-25,Pearl Harbor,151500000,198539855,449239853,59078912,PG-13,Action,3255,2001
189,2007-07-02,Transformers,151000000,319246193,708272592,70502384,PG-13,Action,4050,2007
190,2019-11-20,Frozen II,150000000,477373578,1445182280,130263358,PG,Adventure,4440,2019
191,2017-05-29,Wonder Woman,150000000,412563408,818058221,103251471,PG-13,Action,4165,2017
192,2013-11-22,Frozen,150000000,400953009,1261788407,243390,PG,Musical,3742,2013
193,2016-02-10,Zootopia,150000000,341268248,1004629935,75063401,PG,Adventure,3959,2016
194,2007-07-11,Harry Potter and the Order of the Phoenix,150000000,292137260,939619849,77108414,PG-13,Adventure,4285,2007
195,2005-11-18,Harry Potter and the Goblet of Fire,150000000,290201752,886746240,102685961,PG-13,Adventure,3858,2005
196,2003-05-15,The Matrix Reloaded,150000000,281553689,738576929,91774413,R,Action,3603,2003
197,2007-12-14,I am Legend,150000000,256393010,585532684,77211321,PG-13,Horror,3648,2007
198,2016-01-27,Moana,150000000,248757044,631617146,56631401,PG,Musical,3875,2016
199,2008-07-01,Hancock,150000000,227946274,624234272,62603879,PG-13,Action,3965,2008
200,2021-09-01,Shang-Chi and the Legend of the Ten Rings,150000000,224543292,432243292,75388688,PG-13,Action,4300,2021
201,2005-07-15,Charlie and the Chocolate Factory,150000000,206459076,475825484,56178450,PG,Adventure,3790,2005
202,2007-06-29,Ratatouille,150000000,206445654,626549695,47027395,G,Adventure,3940,2007
203,2013-10-30,Thor: The Dark World,150000000,206362140,644602516,85737841,PG-13,Action,3841,2013
204,2005-06-15,Batman Begins,150000000,205343774,358858124,48745440,PG-13,Action,3858,2005
205,2015-07-29,Mission: Impossible—Rogue Nation,150000000,195042377,688858992,55520089,PG-13,Action,3988,2015
206,2017-07-18,Dunkirk,150000000,190068280,518058826,50513488,PG-13,Action,4014,2017
207,2011-04-29,Thor,150000000,181030624,449326618,65723338,PG-13,Action,3963,2011
208,2008-11-07,Madagascar: Escape 2 Africa,150000000,180174880,599680774,63106589,PG,Adventure,4065,2008
209,2009-05-01,X-Men Origins: Wolverine,150000000,179883157,374825760,85058003,PG-13,Action,4102,2009
210,2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063,54173286,PG,Adventure,4101,2009
211,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,47656302,PG,Adventure,3952,2011
212,2015-05-14,Mad Max: Fury Road,150000000,153636354,367457874,45428128,R,Action,3722,2015
213,2019-05-03,Pokémon: Detective Pikachu,150000000,144105346,431344168,54365242,PG,Adventure,4248,2019
214,2003-11-05,The Matrix Revolutions,150000000,139270910,427300260,48475154,R,Action,3502,2003
215,2018-03-20,Ready Player One,150000000,137690172,579055653,41769050,PG-13,Adventure,4234,2018
216,2005-11-04,Chicken Little,150000000,135386665,310043823,40049778,G,Adventure,3658,2005
217,2006-05-05,Mission: Impossible III,150000000,133501348,399387745,47743273,PG-13,Action,4059,2006
218,2009-05-15,Angels & Demons,150000000,133375846,490875846,46204168,PG-13,Thriller/Suspense,3527,2009
219,2004-05-13,Troy,150000000,133298577,483152040,46865412,R,Action,3411,2004
220,2010-07-01,The Last Airbender,150000000,131772187,319713881,40325019,PG,Adventure,3203,2010
221,2007-11-02,Bee Movie,150000000,126631277,287594577,38021044,PG,Adventure,3984,2007
222,2009-07-24,G-Force,150000000,119436770,292817841,31706934,PG,Adventure,3697,2009
223,2008-11-21,Bolt,150000000,114053579,328015029,26223128,PG,Adventure,3654,2008
224,2021-11-24,Encanto,150000000,96093622,230873149,27206494,PG,Adventure,3980,2021
225,2012-03-28,Wrath of the Titans,150000000,83670083,305270083,33457188,PG-13,Adventure,3545,2012
226,2007-11-16,Beowulf,150000000,82280579,195080579,27515871,PG-13,Adventure,3249,2007
227,2012-05-09,Dark Shadows,150000000,79727149,238202668,29685274,PG-13,Black Comedy,3755,2012
228,2013-06-28,White House Down,150000000,73103784,205440387,24852258,PG-13,Thriller/Suspense,3222,2013
229,2021-07-14,Space Jam: A New Legacy,150000000,70592228,144003749,31053362,PG,Comedy,4002,2021
230,2010-02-12,The Wolfman,150000000,62189884,142634358,31479235,R,Horror,3223,2010
231,2016-12-15,The Great Wall,150000000,45157105,334486852,18469620,PG-13,Action,3328,2016
232,2015-09-25,Pan,150000000,35088320,151525973,15315435,PG,Adventure,3515,2015
233,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,6914488,PG,Adventure,3117,2011
234,2022-02-03,Moonfall,150000000,19060660,59049032,9868997,PG-13,Action,3446,2022
237,2006-11-03,Flushed Away,149000000,64665672,179357126,18814323,PG,Adventure,3707,2006
238,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,60316738,PG,Adventure,4263,2012
239,2011-12-14,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230,12785204,PG-13,Action,3555,2011
240,2014-06-05,How to Train Your Dragon 2,145000000,177002924,614586270,49451322,PG,Adventure,4268,2014
241,1999-06-16,Tarzan,145000000,171091819,448191819,34221968,G,Adventure,3131,1999
242,2014-02-20,Mr. Peabody & Sherman,145000000,111506430,269806430,32207057,PG,Adventure,3951,2014
243,2012-11-20,Rise of the Guardians,145000000,103412758,306900902,23773465,PG,Adventure,3672,2012
244,2005-04-08,Sahara,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,2005
245,2016-07-13,Ghostbusters,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,2016
246,2002-11-22,Die Another Day,142000000,160942139,431942139,47072040,PG-13,Action,3377,2002
248,2009-05-08,Star Trek,140000000,257730019,386839614,79204289,PG-13,Adventure,4053,2009
249,1998-07-01,Armageddon,140000000,201578182,554600000,36089972,PG-13,Adventure,3184,1998
250,2002-07-03,Men in Black 2,140000000,190418803,441767803,52148751,PG-13,Action,3641,2002
251,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,65058524,PG-13,Action,3715,2011
252,2016-01-23,Kung Fu Panda 3,140000000,143528619,521170825,41282042,PG,Adventure,3987,2016
253,1998-07-10,Lethal Weapon 4,140000000,130444603,285400000,34048124,R,Action,3117,1998
254,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705,40501814,PG-13,Action,3734,2013
255,2003-12-05,The Last Samurai,140000000,111110575,456810575,24271354,R,Action,2938,2003
256,2005-12-21,Fun With Dick And Jane,140000000,110550000,203018919,14383515,PG-13,Comedy,3239,2005
257,2014-12-05,Exodus: Gods and Kings,140000000,65014513,268314513,24115934,PG-13,Drama,3503,2014
258,2016-06-30,The BFG,140000000,55483770,199646680,18775350,PG,Adventure,3392,2016
259,2019-10-03,Gemini Man,140000000,48546770,166623705,20552372,PG-13,Action,3642,2019
260,2016-02-24,Gods of Egypt,140000000,31153464,138836756,14123903,PG-13,Adventure,3117,2016
262,2002-05-03,Spider-Man,139000000,403706375,821706375,114844116,PG-13,Adventure,3876,2002
263,2009-03-06,Watchmen,138000000,107509799,186976250,55214334,R,Action,3611,2009
264,2005-07-29,Stealth,138000000,32116746,76416746,13251545,PG-13,Action,3495,2005
265,2008-06-13,The Incredible Hulk,137500000,134806913,265573859,55414050,PG-13,Adventure,3508,2008
266,2003-06-20,Hulk,137000000,132177234,245031679,62128420,PG-13,Action,3674,2003
267,2001-07-11,Final Fantasy: The Spirits Within,137000000,32131830,85131830,11408853,PG-13,Adventure,2649,2001
268,2012-11-14,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737,141067634,PG-13,Drama,4070,2012
269,2013-03-15,The Croods,135000000,187168425,573068425,43639736,PG,Adventure,4065,2013
270,2015-12-25,The Revenant,135000000,183637894,532938302,474560,R,Adventure,3711,2015
271,1999-11-19,The World is Not Enough,135000000,126930660,361730660,35519007,PG-13,Action,3165,1999
272,2011-03-04,Rango,135000000,123477607,245724600,38079323,PG,Adventure,3923,2011
273,2003-11-14,Master and Commander: The Far Side of the World,135000000,93926386,212912137,25105990,PG-13,Adventure,3101,2003
274,2013-07-17,Turbo,135000000,83028130,286896578,21312625,PG,Adventure,3809,2013
275,2016-06-02,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,35316382,PG-13,Adventure,4071,2016
276,2011-11-18,Happy Feet Two,135000000,64006466,157956466,21237068,PG,Adventure,3611,2011
277,2006-07-28,Miami Vice,135000000,63478838,164920076,25723815,R,Action,3026,2006
278,2018-10-31,The Nutcracker and the Four Realms,132900000,54858851,170024300,20352491,PG,Adventure,3766,2018
279,2005-06-24,War of the Worlds,132000000,234280354,606836535,64878725,PG-13,Action,3910,2005
280,2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,25447444,PG,Adventure,3775,2014
281,2013-11-15,The Hunger Games: Catching Fire,130000000,424668047,864868047,158074286,PG-13,Adventure,4163,2013
282,2004-05-31,Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708,93687367,PG,Adventure,3855,2004
283,2007-08-03,The Bourne Ultimatum,130000000,227471070,444043396,69283690,PG-13,Thriller/Suspense,3701,2007
284,2018-07-03,Ant-Man and the Wasp,130000000,216648740,623144660,75812205,PG-13,Action,4206,2018
285,2008-06-06,Kung Fu Panda,130000000,215434591,631910531,60239130,PG,Adventure,4136,2008
286,2015-07-14,Ant-Man,130000000,180202163,518858449,57225526,PG-13,Action,3868,2015
287,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,2015
288,2018-12-19,Mary Poppins Returns,130000000,171958438,348901032,23523121,PG,Musical,4090,2018
289,2011-10-28,Puss in Boots,130000000,149260504,554987477,34077439,PG,Adventure,3963,2011
290,2010-11-05,Megamind,130000000,148415853,321887208,46016833,PG,Adventure,3949,2010
291,2003-07-18,Bad Boys II,130000000,138540870,273271982,46522560,R,Action,3202,2003
292,2014-03-20,Rio 2,130000000,131538435,492846291,39327869,G,Adventure,3975,2014
293,2010-07-23,Salt,130000000,118311368,290650494,36011243,PG-13,Thriller/Suspense,3612,2010
294,2014-03-27,Noah,130000000,101200044,352831065,43720472,PG-13,Drama,3571,2014
295,2011-10-28,The Adventures of Tintin,130000000,77591831,373993951,9720993,PG,Adventure,3087,2011
296,2013-05-31,After Earth,130000000,60522097,251499665,27520040,PG-13,Action,3401,2013
297,2008-11-26,Australia,130000000,49554002,215080810,14800723,PG-13,Drama,2721,2008
298,2013-07-19,R.I.P.D.,130000000,33618855,79076678,12691415,PG-13,Action,2852,2013
299,2019-01-03,How to Train Your Dragon: The Hidden World,129000000,160799505,521214533,55022245,PG,Adventure,4286,2019
300,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,688288353,138122261,PG-13,Drama,4066,2011
301,2000-05-19,Dinosaur,127500000,137748063,356148063,38854851,PG,Adventure,3319,2000
302,2017-02-23,Logan,127000000,226277068,614202315,88411916,R,Action,4071,2017
303,2014-12-18,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,17100520,PG,Adventure,3914,2014
304,2011-07-13,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1316355322,169189427,PG-13,Adventure,4375,2011
305,2014-11-19,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,121897634,PG-13,Thriller/Suspense,4151,2014
306,2001-11-15,Harry Potter and the Sorcerer’s Stone,125000000,317871467,965054122,90294621,PG,Adventure,3672,2001
307,2019-12-04,Jumanji: The Next Level,125000000,316831246,798332900,59251543,PG-13,Adventure,4227,2019
308,2010-11-17,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,951767705,125017372,PG-13,Adventure,4125,2010
309,2006-05-19,The Da Vinci Code,125000000,217536138,767820459,77073388,PG-13,Thriller/Suspense,3757,2006
310,2003-04-30,X-Men 2,125000000,214949694,406348630,85558731,PG-13,Action,3749,2003
311,2011-04-21,Fast Five,125000000,210031325,630163454,86198765,PG-13,Action,3793,2011
312,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,2014
313,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,39637079,PG-13,Action,3703,2011
314,2004-05-27,The Day After Tomorrow,125000000,186740799,555840117,68743584,PG-13,Adventure,3444,2004
315,2017-03-17,The Boss Baby,125000000,175003033,527965936,50198902,PG,Adventure,3829,2017
316,2010-04-01,Clash of the Titans,125000000,163214888,493214888,61235105,PG-13,Action,3802,2010
317,2016-10-12,Trolls,125000000,153707064,343242613,46581142,PG,Adventure,4066,2016
318,1998-05-19,Godzilla,125000000,136314294,376000000,93188384,PG-13,Action,3952,1998
319,2012-05-30,Prometheus,125000000,126477084,402448265,51050101,R,Thriller/Suspense,3442,2012
