rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,year
390,1997-06-13,Speed 2: Cruise Control,110000000,48097081,150468000,16158942,PG-13,Action,2625,1997
391,2005-05-06,Kingdom of Heaven,110000000,47398413,218674938,19635996,R,Action,3219,2005
392,2017-03-23,Ghost in the Shell,110000000,40563557,167910690,18676033,PG-13,Action,3440,2017
393,2004-06-16,Around the World in 80 Days,110000000,24004159,72004159,7576132,PG,Adventure,2801,2004
394,2003-11-21,Dr. Seuss’ The Cat in the Hat,109000000,101018283,133818283,38329160,PG,Adventure,3467,2003
395,2001-12-25,Ali,109000000,58183966,87683966,14710892,R,Drama,2521,2001
396,2015-09-30,The Martian,108000000,228433663,653609107,54308575,PG-13,Thriller/Suspense,3854,2015
397,2016-11-20,Allied,106000000,40098064,119266661,12701743,R,Drama,3160,2016
398,2004-07-16,"I, Robot",105000000,144801023,348629585,52179887,PG-13,Action,3494,2004
399,1999-12-17,Stuart Little,105000000,140015224,298815224,15018223,PG,Adventure,3151,1999
400,2009-11-25,The Princess and the Frog,105000000,104400899,270997378,786190,G,Adventure,3475,2009
401,2008-03-07,"10,000 B.C.",105000000,94784201,269065678,35867488,PG-13,Adventure,3454,2008
402,2016-07-01,Ice Age: Collision Course,105000000,64063008,402156682,21373064,PG,Adventure,3997,2016
403,1997-11-07,Starship Troopers,105000000,54768952,121100000,22058773,R,Action,2971,1997
404,2001-04-27,Town & Country,105000000,6712451,10364769,3029858,R,Romantic Comedy,2222,2001
405,2017-09-19,Kingsman: The Golden Circle,104000000,100234838,408803696,39023010,R,Action,4038,2017
406,2000-06-09,Gone in 60 Seconds,103300000,101643008,232643008,25336048,PG-13,Action,3089,2000
407,2000-05-04,Gladiator,103000000,187683805,456435588,34819017,R,Action,3188,2000
408,2013-05-23,The Hangover 3,103000000,112200072,362000072,41671198,R,Comedy,3565,2013
409,2018-03-09,A Wrinkle in Time,103000000,100478608,133214549,33123609,PG,Adventure,3980,2018
410,2009-07-01,Public Enemies,102500000,97104620,212282709,25271675,R,Drama,3336,2009
411,2006-11-17,Casino Royale,102000000,167365000,594420283,40833156,PG-13,Action,3443,2006
412,2002-06-21,Minority Report,102000000,132024714,358824714,35677125,PG-13,Action,3001,2002
413,2018-12-13,Bumblebee,102000000,127195589,465195589,21654047,PG-13,Adventure,3597,2018
414,2012-10-26,Cloud Atlas,102000000,27108272,130673154,9612247,R,Drama,2023,2012
415,2002-11-15,Harry Potter and the Chamber of Secrets,100000000,262233381,875262553,88357488,PG,Adventure,3682,2002
416,1991-07-02,Terminator 2: Judgment Day,100000000,203464105,515376182,31765506,R,Action,2495,1991
417,1995-06-16,Batman Forever,100000000,184031112,336529144,52784433,PG-13,Action,2893,1995
418,2001-07-27,Planet of the Apes,100000000,180011740,362211740,68532960,PG-13,Adventure,3530,2001
419,2004-11-19,National Treasure,100000000,173005002,331323410,35142554,PG,Adventure,3243,2004
420,2012-12-25,Django Unchained,100000000,162805434,449841566,30122888,R,Western,3012,2012
421,2019-12-25,1917,100000000,159227644,370603379,576216,R,Thriller/Suspense,3987,2019
422,2010-12-22,Little Fockers,100000000,148438600,310650574,30833665,PG-13,Comedy,3675,2010
423,1994-07-15,True Lies,100000000,146282411,365300000,25869770,R,Action,2561,1994
424,2007-11-02,American Gangster,100000000,130164645,267985456,43565135,R,Drama,3111,2007
425,2009-09-18,Cloudy with a Chance of Meatballs,100000000,124870275,236827677,30304648,PG,Adventure,3119,2009
426,2010-08-06,The Other Guys,100000000,119219978,170936470,35543162,PG-13,Comedy,3651,2010
427,2004-12-17,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024,30061756,PG,Adventure,3623,2004
428,2013-12-25,The Wolf of Wall Street,100000000,116949183,389918903,18410067,R,Black Comedy,2557,2013
429,2013-05-24,Epic,100000000,107518682,262794441,33531068,PG,Adventure,3894,2013
430,1996-06-21,Eraser,100000000,101295562,234400000,24566446,R,Action,2556,1996
431,1996-06-21,The Hunchback of Notre Dame,100000000,100138851,325500000,21037414,G,Adventure,2835,1996
432,2000-12-15,The Emperor's New Groove,100000000,89630573,169630573,9812302,G,Adventure,2887,2000
433,2012-08-15,The Expendables 2,100000000,85028192,311979256,28591370,R,Action,3355,2012
434,2009-10-16,Where the Wild Things Are,100000000,77233467,99123656,32695407,PG,Adventure,3735,2009
435,2006-12-15,Eragon,100000000,75030163,249488115,23239907,PG,Adventure,3030,2006
436,2014-07-23,Hercules,100000000,72688614,243388614,29800263,PG-13,Adventure,3595,2014
437,2010-12-10,The Tourist,100000000,67631157,278731369,16472458,PG-13,Thriller/Suspense,2756,2010
438,1999-11-24,End of Days,100000000,66889043,212026975,20523595,R,Action,2665,1999
439,2019-12-25,Spies in Disguise,100000000,66757013,165138481,13354798,PG,Adventure,3502,2019
440,2004-06-11,The Stepford Wives,100000000,59475623,96150482,21406781,PG-13,Black Comedy,3057,2004
441,2007-06-08,Surf’s Up,100000000,58867694,145395745,17640249,PG,Adventure,3531,2007
442,2006-12-08,Blood Diamond,100000000,57377916,171377916,8648324,R,Action,1920,2006
443,2019-11-07,Midway,100000000,56846802,126829063,17897419,PG-13,Action,3242,2019
444,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,16112211,PG,Adventure,3575,2010
445,2009-06-05,Land of the Lost,100000000,49438370,69548641,18837350,PG-13,Comedy,3534,2009
446,2003-12-18,Peter Pan,100000000,48417850,95255485,11139495,PG,Adventure,2813,2003
447,2019-03-15,Wonder Park,100000000,45216793,115112118,15853646,PG,Adventure,3838,2019
448,2004-07-23,Catwoman,100000000,40202379,82078046,16728411,PG-13,Action,3117,2004
449,2014-08-14,The Expendables 3,100000000,39322544,209461378,15879645,PG-13,Action,3221,2014
450,2021-12-08,West Side Story,100000000,38530322,75011257,10574618,PG-13,Musical,2820,2021
451,2002-11-27,Treasure Planet,100000000,38120554,91800000,12083248,PG,Adventure,3227,2002
452,2021-12-22,The King’s Man,100000000,37176373,121125300,5915542,R,Action,3180,2021
453,2010-03-12,Green Zone,100000000,35497337,97523020,14309295,R,Drama,3004,2010
454,2017-10-13,Geostorm,100000000,33700160,220796009,13707376,PG-13,Thriller/Suspense,3246,2017
455,2015-12-02,Point Break,100000000,28782481,126704591,9800252,PG-13,Action,2910,2015
456,2019-12-17,Cats,100000000,27166770,75558925,6619870,PG,Musical,3380,2019
457,2015-11-26,In the Heart of the Sea,100000000,25020758,89693309,11053366,PG-13,Adventure,3103,2015
458,2014-04-18,Transcendence,100000000,23022309,103039258,10886386,PG-13,Thriller/Suspense,3455,2014
459,2005-02-18,Son of the Mask,100000000,17018422,59918422,7511675,PG,Adventure,2966,2005
460,2018-12-05,Mortal Engines,100000000,15951040,85480271,7559850,PG-13,Action,3103,2018
461,2021-02-03,Chaos Walking,100000000,13287908,27075660,3775350,PG-13,Action,2132,2021
462,2021-10-13,The Last Duel,100000000,10853945,30055233,4759151,R,Drama,3065,2021
463,2002-08-16,The Adventures of Pluto Nash,100000000,4411102,7094995,2182900,PG-13,Comedy,2320,2002
464,2012-01-20,Jin líng shí san chai,100000000,311434,98227017,48558,R,Drama,30,2012
467,2015-11-05,The Peanuts Movie,99000000,130178411,250091610,44213073,G,Adventure,3902,2015
468,2019-02-06,The LEGO Movie 2: The Second Part,99000000,105806508,190131036,34115335,PG,Adventure,4303,2019
469,2018-11-21,Robin Hood,99000000,30824628,85210012,36063385,PG-13,Action,3505,2018
470,2001-05-04,The Mummy Returns,98000000,202007640,435040395,68139035,PG-13,Adventure,3553,2001
471,2019-11-14,Ford v. Ferrari,97600000,117624357,224418748,31474958,PG-13,Drama,3746,2019
472,2002-12-20,Gangs of New York,97000000,77730500,183124621,9496870,R,Drama,2340,2002
473,2017-05-04,Alien: Covenant,97000000,74262031,238521247,36160621,R,Horror,3772,2017
474,2015-03-06,Cinderella,95000000,201151353,542351353,67877361,PG,Drama,3848,2015
475,2012-06-27,Ice Age: Continental Drift,95000000,161321843,879765137,46629259,PG,Adventure,3886,2012
476,2001-12-28,Black Hawk Down,95000000,108638745,159691085,179823,R,Action,3143,2001
477,2010-05-27,Sex and the City 2,95000000,95347692,294680778,31001870,R,Comedy,3445,2010
478,2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874,31236067,PG,Adventure,3396,2010
479,2012-08-10,The Campaign,95000000,86907746,104907746,26588460,R,Comedy,3302,2012
480,2010-11-12,Unstoppable,95000000,81562942,165720921,22688457,PG-13,Action,3261,2010
481,1997-05-09,The Fifth Element,95000000,63570862,263893838,17031345,PG-13,Action,2500,1997
482,2000-03-31,The Road to El Dorado,95000000,50802661,65700000,12846652,PG,Adventure,3223,2000
483,2009-12-11,The Lovely Bones,95000000,44114232,94894448,116616,PG-13,Drama,2638,2009
484,2016-06-30,Ben-Hur,95000000,26410477,91669648,11203815,PG-13,Adventure,3084,2016
485,2014-12-19,Seventh Son,95000000,17725785,108874967,7217640,PG-13,Adventure,2875,2014
486,2003-05-30,Finding Nemo,94000000,380529370,936094852,70251710,G,Adventure,3425,2003
487,2003-12-17,The Lord of the Rings: The Return of the King,94000000,377845905,1120214046,72629713,PG-13,Adventure,3703,2003
488,2002-12-18,The Lord of the Rings: The Two Towers,94000000,342548984,919148764,62007528,PG-13,Adventure,3622,2002
489,2001-06-15,Lara Croft: Tomb Raider,94000000,131144183,273330185,47735743,PG-13,Adventure,3349,2001
490,2015-01-29,Kingsman: The Secret Service,94000000,128261724,404561724,36206331,R,Action,3282,2015
491,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,891216824,47211490,PG-13,Adventure,3381,2001
492,2001-07-18,Jurassic Park III,93000000,181166115,365900000,50771645,PG-13,Action,3470,2001
493,2011-08-05,Rise of the Planet of the Apes,93000000,176760185,470986200,54806191,PG-13,Adventure,3691,2011
494,2008-02-14,The Spiderwick Chronicles,92500000,71195053,162839667,19004058,PG,Adventure,3847,2008
495,2004-10-22,The Incredibles,92000000,261441092,631441092,70467623,PG,Adventure,3933,2004
496,2013-02-06,A Good Day to Die Hard,92000000,67349198,304249198,24834845,R,Action,3555,2013
497,2004-04-09,The Alamo,92000000,22406362,23911362,9124701,PG-13,Western,2609,2004
498,1995-12-22,Cutthroat Island,92000000,10017322,18517322,2371415,PG-13,Adventure,1619,1995
499,2013-12-19,The Secret Life of Walter Mitty,91000000,58236838,187861183,12765508,PG,Adventure,2922,2013
